	nome_produto	valor_produto	data_busca	link_produto
138	Hd ssd 120gb ssd7cs1111120g opt-rb - pny - Pny	349.9	5/10/2017	https://www.magazineluiza.com.br/hd-ssd-120gb-ssd7cs1111120g-opt-rb-pny-pny/p/7790419/ia/inaz/
139	Pen Drive Coringa DC Comics 8GB PD088 Multilaser. - Multilaser	46.09	5/10/2017	https://www.magazineluiza.com.br/pen-drive-coringa-dc-comics-8gb-pd088-multilaser.-multilaser/p/7788754/ia/inaz/
140	Pen Drive Mike Wazowski Monstros S.A - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-mike-wazowski-monstros-s.a-mega-emporio/p/7787967/ia/inaz/
141	Pen Drive Patinha - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-patinha-mega-emporio/p/7788336/ia/inaz/
142	Memória Desktop Ddr4 16Gb 2400Mhz Non-Ecc Cl17 Dimm Kvr24n17d8/16 Kingston - Kingston	952.9	5/10/2017	https://www.magazineluiza.com.br/memoria-desktop-ddr4-16gb-2400mhz-non-ecc-cl17-dimm-kvr24n17d8-16-kingston-kingston/p/7789574/ia/mddr/
143	Pen Drive Boneco Flexível - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-boneco-flexivel-mega-emporio/p/7789893/ia/inaz/
144	Leitor De Cartão Interno 30 Em 1 Usb 2.0 Ac069 Multilaser - Multilaser	27.9	5/10/2017	https://www.magazineluiza.com.br/leitor-de-cartao-interno-30-em-1-usb-2.0-ac069-multilaser-multilaser/p/7777659/ia/inaz/
145	Pen Drive Moto - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-moto-mega-emporio/p/7786565/ia/inaz/
146	Cartão De Memória Micro Sd 16Gb Com Adaptador Mc110 Multilaser - Multilaser	41.9	5/10/2017	https://www.magazineluiza.com.br/cartao-de-memoria-micro-sd-16gb-com-adaptador-mc110-multilaser-multilaser/p/7787007/ia/inaz/
147	Pen Drive Menino sem Short - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-menino-sem-short-mega-emporio/p/7786180/ia/inaz/
148	Hdd lenovo thinkserver 1tb 7.2k enterprise 24x7 sata 6gbpsp/ ts150 3.5 - 4xb0g88760 - Lenovo	1049.38	5/10/2017	https://www.magazineluiza.com.br/hdd-lenovo-thinkserver-1tb-7.2k-enterprise-24x7-sata-6gbpsp-ts150-3.5-4xb0g88760-lenovo/p/7788559/ia/inaz/
149	Memória Servidor Ibm Ddr3 8Gb 1,35V 240Pin 22485-4 Kingston - Kingston	455.9	5/10/2017	https://www.magazineluiza.com.br/memoria-servidor-ibm-ddr3-8gb-1-35v-240pin-22485-4-kingston-kingston/p/7779290/ia/mddr/
150	"HD Externo 8TB USB 3.0 Backup Plus 3,5"" STEL8000100 Seagate - Seagate"	1969.9	5/10/2017	https://www.magazineluiza.com.br/hd-externo-8tb-usb-3.0-backup-plus-3-5-stel8000100-seagate-seagate/p/7782137/ia/inaz/
151	Pen Drive Morango - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-morango-mega-emporio/p/7787899/ia/inaz/
152	Ssd Kit Desktop Notebook Uv400 480Gb 2.5 Pol Suv400s3b7a/480G Kingston - Kingston	1336.9	5/10/2017	https://www.magazineluiza.com.br/ssd-kit-desktop-notebook-uv400-480gb-2.5-pol-suv400s3b7a-480g-kingston-kingston/p/7787816/ia/inaz/
153	"HDD Lenovo 2.5"" 300GB 10K ES SAS 6GBPS - 4XB0G45722 - Lenovo"	1938.9	5/10/2017	https://www.magazineluiza.com.br/hdd-lenovo-2.5-300gb-10k-es-sas-6gbps-4xb0g45722-lenovo/p/7712479/ia/inaz/
154	Pen Drive 8Gb Usb Preto Usm-8M2/B Sony - Sony	29.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-8gb-usb-preto-usm-8m2-b-sony-sony/p/7712194/ia/inaz/
155	Memoria Desktop Gamer 4Gb 1600Mhz Hx316c10f-4 Kingston - Kingston	243.9	5/10/2017	https://www.magazineluiza.com.br/memoria-desktop-gamer-4gb-1600mhz-hx316c10f-4-kingston-kingston/p/7713087/ia/mddr/
156	Leitor De Cartão 38 Em 1 Usb Portátil Ac102 Multilaser - Multilaser	31.9	5/10/2017	https://www.magazineluiza.com.br/leitor-de-cartao-38-em-1-usb-portatil-ac102-multilaser-multilaser/p/7721931/ia/inaz/
157	Pen Drive Pinguim Machucado - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-pinguim-machucado-mega-emporio/p/7723270/ia/inaz/
158	"HDD Lenovo 3.5"" 300GB 10K SAS 6G HS - 4XB0G88728 - Lenovo"	1773.9	5/10/2017	https://www.magazineluiza.com.br/hdd-lenovo-3.5-300gb-10k-sas-6g-hs-4xb0g88728-lenovo/p/7727160/ia/inaz/
159	Pen drive 32gb multilaser twist 2 preto pd589 - Multilaser	56.55	5/10/2017	https://www.magazineluiza.com.br/pen-drive-32gb-multilaser-twist-2-preto-pd589-multilaser/p/7721216/ia/inaz/
160	Cartão de Memória Multilaser MicroSD + SD + Pen Drive 32GB Kit 3 Em 1 MC113 - Multilaser	87.9	5/10/2017	https://www.magazineluiza.com.br/cartao-de-memoria-multilaser-microsd-sd-pen-drive-32gb-kit-3-em-1-mc113-multilaser/p/7721757/ia/inaz/
161	Pen Drive Super Mario Pulando 4 ou 8 GB - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-super-mario-pulando-4-ou-8-gb-mega-emporio/p/7723501/ia/inaz/
162	Memória Gamer Ddr4 Savage 8Gb 2800Mhz Hx428c14sb2/8 Hyperx - Hyperx	536.9	5/10/2017	https://www.magazineluiza.com.br/memoria-gamer-ddr4-savage-8gb-2800mhz-hx428c14sb2-8-hyperx-hyperx/p/7726014/ia/mddr/
163	Pen Drive Porco Alienígena - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-porco-alienigena-mega-emporio/p/7726604/ia/inaz/
164	Pen Drive Macaquinho - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-macaquinho-mega-emporio/p/7725882/ia/inaz/
165	Pen Drive Mickey Fundo Vermelho - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-mickey-fundo-vermelho-mega-emporio/p/7728152/ia/inaz/
166	Cartao De Memoria Classe 10 Sda10-64Gb Kingston - Kingston	233.9	5/10/2017	https://www.magazineluiza.com.br/cartao-de-memoria-classe-10-sda10-64gb-kingston-kingston/p/7724394/ia/inaz/
167	Ssd Desktop Notebook Corporativo 512Gb 2.5 Pol Kc400 Kingston - Kingston	1511.9	5/10/2017	https://www.magazineluiza.com.br/ssd-desktop-notebook-corporativo-512gb-2.5-pol-kc400-kingston-kingston/p/7727327/ia/inaz/
168	Pen Drive Morango - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-morango-mega-emporio/p/7728227/ia/inaz/
169	Pen Drive Policial de Lego - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-policial-de-lego-mega-emporio/p/7724775/ia/inaz/
