	nome_produto	valor_produto	data_busca	link_produto
694	Capa Original Moto E 4 Plus Motorola Muvit Transparente - Muvit	34.9	5/10/2017	https://www.magazineluiza.com.br/capa-original-moto-e-4-plus-motorola-muvit-transparente-muvit/p/7103579/te/acce/
695	Capa Exo Frame Original Laut C/ Película Iphone 7 Plus Prata - Laut	109.99	5/10/2017	https://www.magazineluiza.com.br/capa-exo-frame-original-laut-c-pelicula-iphone-7-plus-prata-laut/p/7108091/te/tlac/
696	Capa para Smartphone Galaxy SIII - Fashion Trends, Cathedrali - Youts - Youts	7.9	5/10/2017	https://www.magazineluiza.com.br/capa-para-smartphone-galaxy-siii-fashion-trends-cathedrali-youts-youts/p/7086476/te/tlac/
697	Procase air - case de pc  tpu para bb curve 8500 e 9300 / rosa - youts - Youts	4.9	5/10/2017	https://www.magazineluiza.com.br/procase-air-case-de-pc-tpu-para-bb-curve-8500-e-9300-rosa-youts-youts/p/7090783/te/tlac/
698	Capa para Smartphone iPhone 5/5S - CBR, Pop Brasil - Youts - Youts	7.9	5/10/2017	https://www.magazineluiza.com.br/capa-para-smartphone-iphone-5-5s-cbr-pop-brasil-youts-youts/p/7087833/te/tlac/
699	Alicate cortador iphone 5 nano chip sim  clip gsm celular br - Hardfast	49.99	5/10/2017	https://www.magazineluiza.com.br/alicate-cortador-iphone-5-nano-chip-sim-clip-gsm-celular-br-hardfast/p/7107834/te/tlac/
700	Capa  para iPhone 4  Procase Air Verde + película protetora - Youts - Youts	4.9	5/10/2017	https://www.magazineluiza.com.br/capa-para-iphone-4-procase-air-verde-pelicula-protetora-youts-youts/p/7108828/te/tlac/
701	Tela touch display frontal iph 6g  a1549 a1586 a1589 preto - Oem	139.9	5/10/2017	https://www.magazineluiza.com.br/tela-touch-display-frontal-iph-6g-a1549-a1586-a1589-preto-oem/p/7110872/te/tlac/
702	Kit  Ferramentas Conjunto Abrir Iphone Celular Gps Notebook Tablet Gps Ultrabook Samsung Lumia Computador - Yaxun	83.97	5/10/2017	https://www.magazineluiza.com.br/kit-ferramentas-conjunto-abrir-iphone-celular-gps-notebook-tablet-gps-ultrabook-samsung-lumia-computador-yaxun/p/7083277/te/tlac/
703	Capa Protetora Baseus Air Samsung Galaxy S6 - Baseus	34.9	5/10/2017	https://www.magazineluiza.com.br/capa-protetora-baseus-air-samsung-galaxy-s6-baseus/p/7081300/te/tlac/
704	Skin Premium - Adesivo Fibra de Carbono iPhone 5 5S 5SE - Preta - Skin Premium	39.9	5/10/2017	https://www.magazineluiza.com.br/skin-premium-adesivo-fibra-de-carbono-iphone-5-5s-5se-preta-skin-premium/p/7085567/te/tlac/
